what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1323711822727
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1323711822727
stopped,bundle,org.eclipse.help.ui,3.5.100.v20110425,"org.eclipse.help.ui",1323711822727
stopped,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1323711822727
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.0.I20110525-0742,"org.eclipse.epp.mpc.ui",1323711822727
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1323711822727
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1323711822728
stopped,bundle,org.eclipse.wtp.epp.package.jee.intro,1.3.0.v201006142040,"org.eclipse.wtp.epp.package.jee.intro",1323711822728
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1323711822946
stopped,bundle,org.eclipse.help.base,3.6.0.v201106131736,"org.eclipse.help.base",1323711822946
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1323711822946
stopped,bundle,org.eclipse.wst.server.preview,1.1.100.v20091208,"org.eclipse.wst.server.preview",1323711822946
stopped,bundle,com.google.appengine.eclipse.sdkbundle,1.5.2.r37v201107211953,"com.google.appengine.eclipse.sdkbundle",1323711822946
stopped,bundle,com.google.gdt.eclipse.gph.e36,2.3.3.r37v201107211953,"com.google.gdt.eclipse.gph.e36",1323711822946
stopped,bundle,com.google.gdt.eclipse.gph.hge,2.3.3.r37v201107211953,"com.google.gdt.eclipse.gph.hge",1323711822946
stopped,bundle,com.google.gdt.eclipse.gph.subclipse,2.3.3.r37v201107211953,"com.google.gdt.eclipse.gph.subclipse",1323711822946
stopped,bundle,com.google.gdt.eclipse.gph.subversive,2.3.3.r37v201107211953,"com.google.gdt.eclipse.gph.subversive",1323711822946
stopped,bundle,com.google.gdt.eclipse.gph,2.3.3.r37v201107211953,"com.google.gdt.eclipse.gph",1323711822946
stopped,bundle,com.google.gdt.eclipse.managedapis,2.3.3.r37v201107211953,"com.google.gdt.eclipse.managedapis",1323711823545
stopped,bundle,com.google.gdt.eclipse.maven,2.3.3.r37v201107211953,"com.google.gdt.eclipse.maven",1323711823545
stopped,bundle,com.google.gdt.eclipse.suite,2.3.3.r37v201107211953,"com.google.gdt.eclipse.suite",1323711823545
